Year,Week,Date_Wk,Date,State,Commodity,Commodity_type,Market,price
2019,21,05/26/2019,05/01/2019,Katsina,maize,maize_white,wholesale,89.91
2019,21,05/26/2019,05/01/2019,Katsina,maize,maize_yellow,retail,94.25
2019,21,05/26/2019,05/01/2019,Katsina,maize,maize_yellow,wholesale,93.44
2019,21,05/26/2019,05/01/2019,Katsina,rice,rice_indian,retail,308.05
2019,21,05/26/2019,05/01/2019,Katsina,rice,rice_indian,wholesale,250
2019,21,05/26/2019,05/01/2019,Katsina,rice,rice_thailand,retail,301.22
2019,22,06/02/2019,05/01/2019,Kano,maize,maize_white,retail,106.45
2019,22,06/02/2019,05/01/2019,Kano,maize,maize_yellow,retail,108.9
2019,22,06/02/2019,05/01/2019,Kano,rice,rice_indian,retail,360.14
2019,22,06/02/2019,05/01/2019,Kano,rice,rice_indian,wholesale,139.75
2019,22,06/02/2019,05/01/2019,Kano,rice,rice_thailand,retail,382.83
2019,22,06/02/2019,05/01/2019,Kano,rice,rice_thailand,wholesale,150
2019,22,06/02/2019,05/01/2019,Katsina,maize,maize_white,farm_gate,80
2019,22,06/02/2019,05/01/2019,Katsina,maize,maize_white,retail,93.17
2019,22,06/02/2019,05/01/2019,Katsina,maize,maize_white,wholesale,73.07
2019,22,06/02/2019,05/01/2019,Katsina,maize,maize_yellow,farm_gate,80
2019,22,06/02/2019,05/01/2019,Katsina,maize,maize_yellow,retail,94.45
2019,22,06/02/2019,05/01/2019,Katsina,maize,maize_yellow,wholesale,74.8
2019,22,06/02/2019,05/01/2019,Katsina,rice,rice_indian,retail,301.02
2019,22,06/02/2019,05/01/2019,Katsina,rice,rice_thailand,farm_gate,285.64
2019,22,06/02/2019,05/01/2019,Katsina,rice,rice_thailand,retail,309.44
2019,23,06/09/2019,06/01/2019,Kano,maize,maize_white,farm_gate,97.52
2019,23,06/09/2019,06/01/2019,Kano,maize,maize_white,retail,98.23
2019,23,06/09/2019,06/01/2019,Kano,maize,maize_yellow,retail,107.56
2019,23,06/09/2019,06/01/2019,Kano,rice,rice_indian,retail,300.47
2019,23,06/09/2019,06/01/2019,Kano,rice,rice_thailand,farm_gate,342.45
2019,23,06/09/2019,06/01/2019,Kano,rice,rice_thailand,retail,361.93
2019,23,06/09/2019,06/01/2019,Katsina,maize,maize_white,farm_gate,81.33
